global_trial_id,phase,trial_id,is_initial,n_hidden_layers,n_neurons,lr,epochs_adam,objective,rel_l2_error,elapsed_time,proposal_time
0,llm,0,True,3,62,0.0006538639365636533,4958,-0.5772518515586853,0.5772518515586853,63.42841379099991,0.0
1,llm,1,True,6,34,0.009892301287326708,2269,-0.5670981407165527,0.5670981407165527,36.715801166003075,0.0
2,llm,2,True,8,96,0.00022216174077683063,3165,-0.4753879904747009,0.4753879904747009,196.46082395900157,0.0
3,llm,3,True,4,22,0.0029089418909636583,757,-0.5434903502464294,0.5434903502464294,5.867042916001083,0.0
4,llm,4,True,5,82,0.004808894931635356,1169,-0.5729025602340698,0.5729025602340698,38.027967165999144,0.0
5,llm,5,False,7,45,0.0001,5000,-0.44069933891296387,0.44069933891296387,111.31320366699947,14.260366333001002
6,llm,6,False,8,85,0.00015,5000,-0.09294312447309494,0.09294312447309494,292.3821960409987,20.210569167000358
7,llm,7,False,6,100,0.0001,5000,-0.49106067419052124,0.49106067419052124,257.57969941600095,13.430607708000025
8,llm,8,False,8,72,0.00018,5000,-0.5238897204399109,0.5238897204399109,238.4778240409978,21.561056583999743
9,llm,9,False,8,50,0.00015,5000,-0.262863427400589,0.262863427400589,144.37951816699933,26.215910458999133
10,llm,10,False,7,82,0.00015,5000,-0.4597708582878113,0.4597708582878113,244.6277097079983,22.92947520800226
11,llm,11,False,8,92,0.00012,5000,-0.29361650347709656,0.29361650347709656,331.81188516600014,23.44015041700186
12,llm,12,False,8,90,0.00016,5000,-0.22038549184799194,0.22038549184799194,358.1591777089998,16.1189692500011
13,llm,13,False,8,78,0.00014,5000,-0.4650650918483734,0.4650650918483734,438.5244125419995,17.23276270900169
14,llm,14,False,8,68,0.00018,5000,-0.15677106380462646,0.15677106380462646,376.27296970799944,21.404076750000968
15,bo,6,False,8,85,0.00015,5000,-0.09294312447309494,0.09294312447309494,292.3821960409987,20.210569167000358
16,bo,8,False,8,72,0.00018,5000,-0.5238897204399109,0.5238897204399109,238.4778240409978,21.561056583999743
17,bo,9,False,8,50,0.00015,5000,-0.262863427400589,0.262863427400589,144.37951816699933,26.215910458999133
18,bo,11,False,8,92,0.00012,5000,-0.29361650347709656,0.29361650347709656,331.81188516600014,23.44015041700186
19,bo,12,False,8,90,0.00016,5000,-0.22038549184799194,0.22038549184799194,358.1591777089998,16.1189692500011
20,bo,13,False,8,78,0.00014,5000,-0.4650650918483734,0.4650650918483734,438.5244125419995,17.23276270900169
21,bo,14,False,8,68,0.00018,5000,-0.15677106380462646,0.15677106380462646,376.27296970799944,21.404076750000968
22,bo,7,False,8,65,0.0001800400804470124,5000,-0.25644049048423767,0.25644049048423767,245.42140070800087,0.06442516699826228
23,bo,8,False,8,86,0.0001798772324236339,5000,-0.28835493326187134,0.28835493326187134,319.3664513750009,0.035020041999814566
24,bo,9,False,7,100,0.00026874841568274264,4809,-0.2641213834285736,0.2641213834285736,346.24570649999805,0.018761666000500554
25,bo,10,False,8,85,0.00013684304759587894,5000,-0.26460111141204834,0.26460111141204834,367.0509952919965,0.08548083400091855
26,bo,11,False,8,86,0.0001541231943963627,5000,-0.4662793278694153,0.4662793278694153,375.8462760000002,0.0995923340014997
27,bo,12,False,8,41,0.00010000000000000009,4550,-0.21814219653606415,0.21814219653606415,131.6545761669986,0.019392583999433555
28,bo,13,False,8,41,0.0002852807746430005,4550,-0.21931901574134827,0.21931901574134827,129.65832620799847,0.0245697909995215
29,bo,14,False,8,100,0.00010000000000000009,4550,-0.47055429220199585,0.47055429220199585,445.23290987499786,0.012782707999576814
30,bo,15,False,8,41,0.0002852807746430005,4550,-0.5380548238754272,0.5380548238754272,140.22055912499854,0.03415554200182669
31,bo,16,False,8,81,0.00010000000000000009,4738,-0.21405400335788727,0.21405400335788727,345.9577233329983,0.049414042001444614
